Name,Size,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
Ants,12-18,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no
Leeches,4-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Sculpins,1/0-10,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Freshwater shrimp,12-20,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
(scuds),,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Midge,16-28,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
chironomids,,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
Tiny Winter Black Stonefly,12-18,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes
Baetis (seasonal),18-20,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no
baetis spp,,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no
Early Stonefly,4-14,no,no,no,yes,yes,no,no,no,no,no,no,no
Micro Caddis,18-22,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no
hydroptilitdae,,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no
Blue Quill,16-20,no,no,no,yes,yes,yes,no,no,no,no,no,no
P. adoptiva,,no,no,no,yes,yes,yes,no,no,no,no,no,no
Grannom Caddis,14-16,no,no,no,no,yes,yes,yes,yes,no,no,no,no
Brachycentrus spp,,no,no,no,yes,yes,yes,yes,no,no,no,no,no
Sulphers,14-16,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
Ephemerella spp,,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
Yellow Sally's,10-12,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
Isoperia spp,,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
Brown Stonefly,10,no,no,yes,yes,yes,yes,yes,yno,no,no,no,no
Cultus decisus,,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
Gray Drake,10-12,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
Siphlonurus sp,,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
March Brown (Gray Fox),10-14,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
S. vicarium,,no,no,yes,yes,yes,yes,yes,no,no,no,no,no
Slate Drakes,10-12,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no
Isonychia bicolor,,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no
Early Brown Stonefly,12-16,no,no,no,yes,yes,no,no,no,no,no,no,no
Dark Hendrickson,16-18,no,no,no,yes,yes,no,no,no,no,no,no,no
Ephemerella subvaria,,no,no,no,yes,yes,no,no,no,no,no,no,no
Mahogany Dun,16-18,no,no,no,yes,yes,no,no,no,no,no,no,no
Paraleptaphlebia adoptiva,,no,no,no,yes,yes,no,no,no,no,no,no,no
Large Black Stonefly,2-6,no,no,no,yes,yes,yes,no,no,no,no,no,no
Dark Hendrickson,12-14,no,no,no,no,yes,no,no,no,no,no,no,no
Ephemerella subvaria,,no,no,no,no,yes,no,no,no,no,no,no,no
